date,residual
2017-11-18,-107.26384057971013
2017-11-19,-96.60096179183135
2017-11-24,849.049696969697
2017-11-25,213.66129117259555
2017-11-26,107.76129117259556
2017-11-27,117.39679841897232
2017-11-28,92.73882740447958
2017-12-09,-94.93001317523057
2017-12-24,-132.900303030303
2017-12-25,-82.58870882740446
2017-12-31,-92.65682476943346
2018-01-01,-102.9292885375494
2018-01-08,81.7199868247694
2018-01-22,78.04525032938074
2018-01-27,-77.64450592885377
2018-03-24,-83.0169696969697
2018-04-14,-85.21986824769436
2018-05-07,109.96926218708835
2018-05-09,89.13303030303034
2018-05-14,124.81346508563902
2018-05-15,115.33085638998682
2018-05-16,124.06056653491436
2018-05-23,-93.71696969696971
2018-05-24,-84.15537549407112
2018-05-25,-88.73870882740447
2018-05-26,-90.28653491436098
2018-05-27,-89.96117259552044
2018-06-11,101.65476943346513
2018-07-07,-96.5633465085639
2018-07-18,94.3505533596838
2018-08-06,99.15332015810272
2018-08-07,89.88303030303022
2018-08-14,76.04389986824765
